Date,Price,Open,High,Low
"Mar 27, 2020",6373.4,6725.5,6813.7,6322.3
"Mar 26, 2020",6725.1,6677.9,6772.9,6541.7
"Mar 25, 2020",6678.9,6744.8,6930.2,6474.6
"Mar 24, 2020",6744.6,6468.8,6814.2,6380.8
"Mar 23, 2020",6468.9,5822,6564.7,5710.8
"Mar 22, 2020",5822.1,6186.9,6394.4,5771.2
"Mar 21, 2020",6186.2,6205.6,6438.3,5887
"Mar 20, 2020",6205.3,6171.6,6858.1,5748.2
"Mar 19, 2020",6172,5359.2,6379.5,5256
"Mar 18, 2020",5361.4,5260.7,5373.1,5020.9
"Mar 17, 2020",5261.1,5030.2,5432.8,4946.5
"Mar 16, 2020",5030,5366.4,5369.3,4477.7
"Mar 15, 2020",5366.3,5182.9,5863.3,5120.6
"Mar 14, 2020",5182.7,5589.4,5634.9,5072.2
"Mar 13, 2020",5584.3,4815.2,5934.3,3869.5
"Mar 12, 2020",4826,7935.2,7963.1,4546.6
"Mar 11, 2020",7935.1,7892.1,7976.5,7606
"Mar 10, 2020",7891.2,7933,8145.5,7740.2
"Mar 09, 2020",7933,8035.8,8158.8,7648.7
"Mar 08, 2020",8034.1,8887.8,8888,8015.3
"Mar 07, 2020",8887.8,9134.2,9180.8,8848.7
"Mar 06, 2020",9134.8,9060.6,9165.2,9004.9
"Mar 05, 2020",9060.3,8757.9,9147.3,8751.5
"Mar 04, 2020",8757.9,8761.3,8840.3,8679.7
"Mar 03, 2020",8761.4,8906.1,8911.7,8669.3
"Mar 02, 2020",8904.8,8537.5,8961.8,8503.1
"Mar 01, 2020",8540,8543.8,8737.2,8437.2
